date,business_owner,revenue,expense_category,expense_amount,total_expenses,profit,business_trend_%,index
2023-01,Tammy Mccarthy,43708.61,Marketing,7502.87,38691.49,5017.12,0.0,0
2023-01,Tammy Mccarthy,43708.61,Salaries,5201.99,38691.49,5017.12,0.0,1
2023-01,Tammy Mccarthy,43708.61,Rent,966.53,38691.49,5017.12,0.0,2
2023-01,Tammy Mccarthy,43708.61,Utilities,966.37,38691.49,5017.12,0.0,3
2023-01,Tammy Mccarthy,43708.61,Supplies,340.96,38691.49,5017.12,0.0,4
2023-01,Tammy Mccarthy,43708.61,Travel,11460.08,38691.49,5017.12,0.0,5
2023-01,Tammy Mccarthy,43708.61,Maintenance,5236.97,38691.49,5017.12,0.0,6
2023-01,Tammy Mccarthy,43708.61,Miscellaneous,7015.72,38691.49,5017.12,0.0,7
2023-02,Tammy Mccarthy,11852.6,Marketing,4244.31,10560.35,1292.25,-74.24,8
2023-02,Tammy Mccarthy,11852.6,Salaries,567.09,10560.35,1292.25,-74.24,9
2023-02,Tammy Mccarthy,11852.6,Rent,476.79,10560.35,1292.25,-74.24,10
2023-02,Tammy Mccarthy,11852.6,Utilities,481.38,10560.35,1292.25,-74.24,11
2023-02,Tammy Mccarthy,11852.6,Supplies,861.85,10560.35,1292.25,-74.24,12
2023-02,Tammy Mccarthy,11852.6,Travel,1767.47,10560.35,1292.25,-74.24,13
2023-02,Tammy Mccarthy,11852.6,Maintenance,1343.64,10560.35,1292.25,-74.24,14
2023-02,Tammy Mccarthy,11852.6,Miscellaneous,817.83,10560.35,1292.25,-74.24,15
2023-03,Tammy Mccarthy,65066.76,Marketing,2982.28,41762.98,23303.78,1703.34,16
2023-03,Tammy Mccarthy,65066.76,Salaries,3938.31,41762.98,23303.78,1703.34,17
2023-03,Tammy Mccarthy,65066.76,Rent,5255.96,41762.98,23303.78,1703.34,18
2023-03,Tammy Mccarthy,65066.76,Utilities,13274.53,41762.98,23303.78,1703.34,19
2023-03,Tammy Mccarthy,65066.76,Supplies,1922.52,41762.98,23303.78,1703.34,20
2023-03,Tammy Mccarthy,65066.76,Travel,6232.12,41762.98,23303.78,1703.34,21
2023-03,Tammy Mccarthy,65066.76,Maintenance,7746.72,41762.98,23303.78,1703.34,22
2023-03,Tammy Mccarthy,65066.76,Miscellaneous,410.54,41762.98,23303.78,1703.34,23
2023-04,Tammy Mccarthy,64679.04,Marketing,276.04,42116.22,22562.81,-3.18,24
2023-04,Tammy Mccarthy,64679.04,Salaries,12203.32,42116.22,22562.81,-3.18,25
2023-04,Tammy Mccarthy,64679.04,Rent,13832.28,42116.22,22562.81,-3.18,26
2023-04,Tammy Mccarthy,64679.04,Utilities,6780.78,42116.22,22562.81,-3.18,27
2023-04,Tammy Mccarthy,64679.04,Supplies,1490.85,42116.22,22562.81,-3.18,28
2023-04,Tammy Mccarthy,64679.04,Travel,421.77,42116.22,22562.81,-3.18,29
2023-04,Tammy Mccarthy,64679.04,Maintenance,4730.62,42116.22,22562.81,-3.18,30
2023-04,Tammy Mccarthy,64679.04,Miscellaneous,2380.56,42116.22,22562.81,-3.18,31
2023-05,Tammy Mccarthy,20983.44,Marketing,92.78,15707.22,5276.22,-76.62,32
2023-05,Tammy Mccarthy,20983.44,Salaries,6364.18,15707.22,5276.22,-76.62,33
2023-05,Tammy Mccarthy,20983.44,Rent,793.95,15707.22,5276.22,-76.62,34
2023-05,Tammy Mccarthy,20983.44,Utilities,2879.96,15707.22,5276.22,-76.62,35
2023-05,Tammy Mccarthy,20983.44,Supplies,990.38,15707.22,5276.22,-76.62,36
2023-05,Tammy Mccarthy,20983.44,Travel,1946.33,15707.22,5276.22,-76.62,37
2023-05,Tammy Mccarthy,20983.44,Maintenance,2097.75,15707.22,5276.22,-76.62,38
2023-05,Tammy Mccarthy,20983.44,Miscellaneous,541.89,15707.22,5276.22,-76.62,39
2023-06,Tammy Mccarthy,97262.62,Marketing,24507.36,80975.0,16287.61,208.7,40
2023-06,Tammy Mccarthy,97262.62,Salaries,19676.45,80975.0,16287.61,208.7,41
2023-06,Tammy Mccarthy,97262.62,Rent,7959.64,80975.0,16287.61,208.7,42
2023-06,Tammy Mccarthy,97262.62,Utilities,22273.73,80975.0,16287.61,208.7,43
2023-06,Tammy Mccarthy,97262.62,Supplies,809.51,80975.0,16287.61,208.7,44
2023-06,Tammy Mccarthy,97262.62,Travel,1905.78,80975.0,16287.61,208.7,45
2023-06,Tammy Mccarthy,97262.62,Maintenance,404.35,80975.0,16287.61,208.7,46
2023-06,Tammy Mccarthy,97262.62,Miscellaneous,3438.18,80975.0,16287.61,208.7,47
2023-07,Tammy Mccarthy,44980.96,Marketing,5691.87,30650.24,14330.72,-12.01,48
2023-07,Tammy Mccarthy,44980.96,Salaries,1423.25,30650.24,14330.72,-12.01,49
2023-07,Tammy Mccarthy,44980.96,Rent,1063.83,30650.24,14330.72,-12.01,50
2023-07,Tammy Mccarthy,44980.96,Utilities,2523.78,30650.24,14330.72,-12.01,51
2023-07,Tammy Mccarthy,44980.96,Supplies,489.97,30650.24,14330.72,-12.01,52
2023-07,Tammy Mccarthy,44980.96,Travel,5227.13,30650.24,14330.72,-12.01,53
2023-07,Tammy Mccarthy,44980.96,Maintenance,249.91,30650.24,14330.72,-12.01,54
2023-07,Tammy Mccarthy,44980.96,Miscellaneous,13980.49,30650.24,14330.72,-12.01,55
2023-08,Tammy Mccarthy,79502.03,Marketing,45.75,52440.71,27061.32,88.83,56
2023-08,Tammy Mccarthy,79502.03,Salaries,13961.57,52440.71,27061.32,88.83,57
2023-08,Tammy Mccarthy,79502.03,Rent,10138.01,52440.71,27061.32,88.83,58
2023-08,Tammy Mccarthy,79502.03,Utilities,10787.11,52440.71,27061.32,88.83,59
2023-08,Tammy Mccarthy,79502.03,Supplies,12187.91,52440.71,27061.32,88.83,60
2023-08,Tammy Mccarthy,79502.03,Travel,635.57,52440.71,27061.32,88.83,61
2023-08,Tammy Mccarthy,79502.03,Maintenance,3667.35,52440.71,27061.32,88.83,62
2023-08,Tammy Mccarthy,79502.03,Miscellaneous,1017.44,52440.71,27061.32,88.83,63
2023-09,Tammy Mccarthy,87679.31,Marketing,4347.65,69002.69,18676.62,-30.98,64
2023-09,Tammy Mccarthy,87679.31,Salaries,710.52,69002.69,18676.62,-30.98,65
2023-09,Tammy Mccarthy,87679.31,Rent,4030.3,69002.69,18676.62,-30.98,66
2023-09,Tammy Mccarthy,87679.31,Utilities,4255.63,69002.69,18676.62,-30.98,67
2023-09,Tammy Mccarthy,87679.31,Supplies,14151.12,69002.69,18676.62,-30.98,68
2023-09,Tammy Mccarthy,87679.31,Travel,10981.03,69002.69,18676.62,-30.98,69
2023-09,Tammy Mccarthy,87679.31,Maintenance,23611.8,69002.69,18676.62,-30.98,70
2023-09,Tammy Mccarthy,87679.31,Miscellaneous,6914.65,69002.69,18676.62,-30.98,71
2023-10,Tammy Mccarthy,20763.48,Marketing,4135.02,16900.92,3862.56,-79.32,72
2023-10,Tammy Mccarthy,20763.48,Salaries,2381.72,16900.92,3862.56,-79.32,73
2023-10,Tammy Mccarthy,20763.48,Rent,4260.76,16900.92,3862.56,-79.32,74
2023-10,Tammy Mccarthy,20763.48,Utilities,1968.12,16900.92,3862.56,-79.32,75
2023-10,Tammy Mccarthy,20763.48,Supplies,2138.29,16900.92,3862.56,-79.32,76
2023-10,Tammy Mccarthy,20763.48,Travel,1612.55,16900.92,3862.56,-79.32,77
2023-10,Tammy Mccarthy,20763.48,Maintenance,74.43,16900.92,3862.56,-79.32,78
2023-10,Tammy Mccarthy,20763.48,Miscellaneous,330.04,16900.92,3862.56,-79.32,79
2023-11,Tammy Mccarthy,12828.63,Marketing,634.74,10146.46,2682.17,-30.56,80
2023-11,Tammy Mccarthy,12828.63,Salaries,1194.88,10146.46,2682.17,-30.56,81
